City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,zhigalovo,54.8097,105.1578,-9.07,97,100,0.79,RU,1704183441
223,saint-pierre,-21.3393,55.4781,25.82,89,75,3.09,RE,1704183441
224,kiruna,67.8557,20.2251,-23.49,77,78,0.0,SE,1704183190
225,opuwo,-18.0607,13.84,26.43,17,29,3.0,NA,1704182845
226,conception bay south,47.4999,-52.9981,-5.25,84,12,4.45,CA,1704183198
227,wad medani,14.4012,33.5199,27.69,19,24,6.32,SD,1704183442
228,point hill,18.0899,-77.1076,21.03,96,28,1.8,JM,1704183442
229,alofi,-19.0595,-169.9187,24.94,83,40,3.09,NU,1704183442
230,vladimir,56.1366,40.3966,-24.67,100,100,3.26,RU,1704183443
231,rongelap,11.1635,166.8941,27.54,77,19,10.0,MH,1704183443
232,ilfracombe,51.2093,-4.1134,11.42,97,100,4.02,GB,1704183443
233,sorong,-0.8833,131.25,28.84,75,83,1.48,ID,1704183444
234,tai'an,36.1853,117.12,5.96,58,6,1.81,CN,1704183444
235,portland,45.5234,-122.6762,6.99,81,75,5.36,US,1704183208
236,christchurch,-43.5333,172.6333,18.84,72,75,4.12,NZ,1704183036
237,constantia,44.1833,28.65,6.5,81,100,3.3,RO,1704183444
238,kisangani,0.5167,25.2,29.84,62,36,1.27,CD,1704183045
239,yatou,37.15,122.3833,2.58,67,92,0.91,CN,1704183445
240,klyuchi,52.2667,79.1667,-0.42,96,100,6.36,RU,1704183445
241,bubaque,11.2833,-15.8333,25.49,68,93,3.25,GW,1704182855
242,menomonie,44.8755,-91.9193,-3.98,86,0,0.0,US,1704183445
243,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1704183446
244,tsiombe,-25.3,45.4833,24.79,85,87,8.24,MG,1704183446
245,oroqen zizhiqi,50.5667,123.7167,-17.17,94,44,0.82,CN,1704183446
246,guiratinga,-16.3494,-53.7583,22.52,93,100,1.15,BR,1704183446
247,broome,42.2506,-75.833,-1.57,86,100,3.09,US,1704183204
248,cafayate,-26.073,-65.9761,19.82,87,61,1.22,AR,1704183447
249,cockburn town,21.4612,-71.1419,24.76,82,93,7.89,TC,1704183447
250,buritis,-15.6178,-46.4233,21.48,98,99,1.08,BR,1704183447
251,touba,8.2833,-7.6833,21.01,82,29,2.28,CI,1704183447
252,barabai,-2.5833,115.3833,29.13,86,100,0.74,ID,1704183448
253,awjilah,29.1081,21.2869,16.31,48,6,3.17,LY,1704183448
254,ugoofaaru,5.6667,73.0,27.6,78,97,4.39,MV,1704183448
255,rabaul,-4.1967,152.1721,28.77,74,30,2.09,PG,1704183448
256,kafr ash shaykh,31.1143,30.9401,19.36,63,13,4.49,EG,1704183448
257,sanctuary point,-35.1114,150.629,23.51,79,63,6.07,AU,1704183151
258,keflavik,64.0049,-22.5624,4.24,87,75,6.69,IS,1704183449
259,huambo,-12.7761,15.7392,18.34,80,92,2.37,AO,1704183449
260,mount isa,-20.7333,139.5,39.87,24,75,4.63,AU,1704183449
261,bom jesus dos perdoes,-23.135,-46.4653,18.92,97,100,1.07,BR,1704183449
262,kardzhali,41.65,25.3667,7.51,71,100,0.56,BG,1704183449
263,gamba,-2.65,10.0,27.56,81,74,2.83,GA,1704183450
264,vilyuchinsk,52.9306,158.4028,-14.85,77,97,5.07,RU,1704183450
265,yulinshi,38.2906,109.7494,-1.03,64,3,5.06,CN,1704183450
266,zhezqazghan,47.7833,67.7667,-4.68,80,75,10.0,KZ,1704183450
267,nuku'alofa,-21.1333,-175.2,25.71,81,29,8.83,TO,1704183451
268,xianning,29.8833,114.2167,6.83,88,100,1.75,CN,1704183451
269,morondava,-20.2833,44.2833,30.1,64,100,5.4,MG,1704183451
270,yalta,44.5,34.1667,11.84,73,100,2.9,UA,1704183451
271,pangoa,-12.1167,-73.0,20.91,99,100,0.92,PE,1704183452
272,tuy hoa,13.0833,109.3,24.29,91,96,2.62,VN,1704183452
273,polyarnyy,69.1989,33.4478,-16.34,83,100,8.16,RU,1704183452
274,waiuku,-37.25,174.75,17.92,77,3,2.56,NZ,1704183452
275,kodiak,57.79,-152.4072,3.73,93,100,10.8,US,1704183405
276,acapulco de juarez,16.8634,-99.8901,21.9,73,0,2.06,MX,1704183433
277,tongging,2.8969,98.5262,23.97,87,82,1.52,ID,1704183453
278,togur,58.3631,82.8265,-4.36,97,100,1.34,RU,1704183233
279,namibe,-15.1961,12.1522,26.14,47,16,4.78,AO,1704183167
280,trosa,58.8962,17.5481,-4.77,67,100,7.16,SE,1704183454
281,sao gabriel da cachoeira,-0.1303,-67.0892,22.97,99,100,1.12,BR,1704183021
282,archangelos,36.2149,28.1149,16.84,75,100,1.33,GR,1704183454
283,ban tak,17.0432,99.0813,34.56,32,9,2.45,TH,1704183454
284,orlovskiy,46.8714,42.0592,4.6,81,100,5.96,RU,1704183454
285,acarau,-2.8856,-40.12,25.51,84,100,2.28,BR,1704183454
286,prince rupert,54.3161,-130.3201,6.05,86,100,7.72,CA,1704183436
287,nova sintra,14.8667,-24.7167,21.86,60,98,6.78,CV,1704183455
288,katabu,-4.9333,122.5167,31.31,63,85,0.49,ID,1704183455
289,chihuahua,28.5,-106.0,8.84,28,91,2.4,MX,1704183444
290,ust-nera,64.5667,143.2,-42.58,98,78,1.79,RU,1704183455
291,benjamin constant,-4.3831,-70.0311,24.07,99,100,0.16,BR,1704183456
292,ayorou,14.7308,0.9174,21.72,12,94,4.1,NE,1704183456
293,ouadda,8.0777,22.4007,29.89,13,63,2.99,CF,1704183456
294,rio tuba,8.5061,117.4317,29.03,75,100,5.64,PH,1704183456
295,ca mau,9.1769,105.15,31.91,53,84,0.73,VN,1704183456
296,revda,56.801,59.9303,-22.29,91,96,2.3,RU,1704183457
297,tonj,7.2737,28.6822,31.93,18,4,3.93,SS,1704183457
298,puerto baquerizo moreno,-0.9,-89.6,24.02,89,3,4.05,EC,1704183137
299,makar'yev,57.8797,43.8069,-23.69,96,40,1.84,RU,1704183457
300,mendoza,-32.8908,-68.8272,22.74,53,0,0.0,AR,1704183171
301,cheremukhovo,60.3484,59.9851,-25.02,94,98,5.36,RU,1704183458
302,newman,37.3138,-121.0208,6.75,93,8,0.89,US,1704183200
303,port blair,11.6667,92.75,30.02,66,20,4.63,IN,1704183458
304,nemuro,43.3236,145.575,1.6,75,100,7.89,JP,1704183458
305,kingston,17.997,-76.7936,24.53,88,20,1.03,JM,1704183235
306,cromer,52.9312,1.2989,10.04,93,100,5.81,GB,1704183459
307,kununurra,-15.7667,128.7333,33.99,55,93,5.66,AU,1704183459
308,goundam,16.4145,-3.6708,20.17,15,26,3.4,ML,1704183459
309,holualoa,19.6228,-155.9522,22.91,84,100,2.57,US,1704183195
310,nova vicosa,-17.8919,-39.3719,23.65,90,100,0.46,BR,1704183460
311,rawson,-43.3002,-65.1023,16.19,91,82,2.22,AR,1704183460
312,florence,43.7667,11.25,10.85,93,20,1.03,IT,1704183175
313,qoryooley,1.7878,44.53,32.19,39,97,7.37,SO,1704183460
314,urucui,-7.2294,-44.5561,23.83,94,100,2.18,BR,1704183460
315,teknaf,20.8624,92.3058,25.94,51,0,4.16,BD,1704183324
316,tucuma,-0.1833,-50.05,24.23,94,92,2.25,BR,1704183461
317,isangel,-19.55,169.2667,26.25,83,84,5.43,VU,1704183461
318,tanjungtiram,4.0613,98.3699,29.2,70,66,3.33,ID,1704183461
319,lamesa,32.7376,-101.951,4.45,56,100,3.12,US,1704183461
320,glens falls north,43.3351,-73.6825,-3.07,92,0,0.0,US,1704183461
321,mejit,10.2753,170.8646,27.18,78,61,10.55,MH,1704183203
322,xai-xai,-25.0519,33.6442,26.64,69,29,6.36,MZ,1704183156
323,nikolayevsk-on-amure,53.1406,140.73,-18.35,94,100,1.22,RU,1704183179
324,port douglas,-16.4833,145.4667,28.61,74,1,2.24,AU,1704183407
325,paraiso,9.8383,-83.8656,18.48,95,37,1.59,CR,1704183462
326,cill airne,52.05,-9.5167,8.43,97,100,2.52,IE,1704183462
327,kourou,5.1552,-52.6478,26.03,82,8,4.07,GF,1704183462
328,gurupi,-11.7292,-49.0686,22.39,89,96,1.74,BR,1704183462
329,yung shue wan,22.2333,114.1167,22.41,63,53,6.41,HK,1704183463
330,martos,37.7211,-3.9726,6.46,84,65,0.89,ES,1704183463
331,tezu,27.9167,96.1667,25.01,29,1,1.58,IN,1704183463
332,jiangyou,31.7667,104.7167,15.41,42,96,1.9,CN,1704183463
333,ambalangoda,6.2355,80.0538,24.96,84,100,1.96,LK,1704183463
334,al hufuf,25.3646,49.5653,20.19,52,0,1.54,SA,1704183408
335,mahebourg,-20.4081,57.7,29.16,84,75,5.14,MU,1704183463
336,egilsstadir,65.2653,-14.3948,4.95,81,75,2.06,IS,1704183464
337,young,-32.6833,-57.6333,16.31,85,6,3.26,UY,1704183464
338,takoradi,4.8845,-1.7554,28.1,74,64,2.36,GH,1704183306
339,horta,38.5333,-28.6333,15.8,83,40,6.17,PT,1704183464
340,sarkhej,22.9833,72.5,23.07,64,0,3.09,IN,1704183464
341,saipan,15.1355,145.701,27.39,89,40,4.12,MP,1704183464
342,mulayjah,27.271,48.4242,18.85,44,0,1.79,SA,1704183464
343,hafnarfjordur,64.0671,-21.9377,4.21,93,40,4.63,IS,1704183465
344,port saint john's,-31.6229,29.5448,22.7,74,99,5.67,ZA,1704183465
345,nogliki,51.8333,143.1667,-17.03,94,100,2.24,RU,1704183364
346,kili,5.6439,169.1211,28.06,82,47,9.86,MH,1704183465
347,murrells inlet,33.551,-79.0414,4.44,65,0,6.17,US,1704183231
348,bodaybo,57.8506,114.1933,-13.47,95,100,0.99,RU,1704183465
349,asenovgrad,42.0167,24.8667,5.71,93,100,2.06,BG,1704183465
350,san antonio de pale,-1.4014,5.6325,27.45,79,99,3.97,GQ,1704183466
351,lerwick,60.1545,-1.1494,5.0,94,100,16.8,GB,1704183166
352,vrangel',42.7297,133.0839,-1.75,60,97,5.11,RU,1704183466
